name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Austin,2025-05-18,92.9,77,83.5,97.3,77,86.4,70.8,67.6,0,0,0,rain,0,0,30.8,17.3,152.1,1007,51.3,9.6,166.5,14.4,8,75,2025-05-18T06:35:07,2025-05-18T20:20:18,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-19,86,78.2,82.1,93.3,78.2,85.7,72.4,73,0,0,0,rain,0,0,31.3,17,164.4,1004.3,88.3,9.2,189.3,16.3,10,100,2025-05-19T06:34:35,2025-05-19T20:20:56,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-20,95,77,84.9,91.1,77,84.6,61,52.8,0,0,0,rain,0,0,26.2,11.7,357.7,1007.9,28.6,8.4,245.6,21.6,10,75,2025-05-20T06:34:04,2025-05-20T20:21:33,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-21,92.9,70,81.2,90.2,70,80.6,53.4,39.4,0,0,0,,0,0,17,7.3,54.8,1013.3,4.6,9.9,288.1,24.7,9,60,2025-05-21T06:33:35,2025-05-21T20:22:10,0.81,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-22,98,75.8,85.4,102.3,75.8,87.9,69.8,63.5,0,0,0,rain,0,0,32.1,15,136,1012.8,39.6,9.2,120.5,10.3,4,75,2025-05-22T06:33:07,2025-05-22T20:22:47,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-23,97,69.2,83.3,101.3,69.2,85.6,67.7,62.8,0.275,100,16.67,rain,0,0,24.8,10.3,173.5,1013,21.7,9.6,314.1,27.1,10,75,2025-05-23T06:32:40,2025-05-23T20:23:24,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-24,98,77,86.3,102.6,77,89.4,70.1,61.8,0,0,0,rain,0,0,27.7,13,169.5,1012,36.5,9.9,324.3,28.2,9,75,2025-05-24T06:32:15,2025-05-24T20:24:00,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-25,98,78.1,86.3,105.1,78.1,90.2,71.5,64.6,0,0,0,rain,0,0,30.6,15.2,166.1,1011.6,66.4,9.8,141.3,12.2,7,75,2025-05-25T06:31:51,2025-05-25T20:24:35,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-26,89.8,66,79.6,96.3,66,83.1,71,76.5,2.208,100,20.83,rain,0,0,42,25,112.6,1010.3,83,9.1,232.3,20,10,100,2025-05-26T06:31:29,2025-05-26T20:25:11,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-27,91.9,65.9,77.2,94.2,65.9,78.4,65.8,71,0.063,100,12.5,rain,0,0,34.6,16,54.8,1013.8,32.7,9.9,307.5,26.8,9,60,2025-05-27T06:31:08,2025-05-27T20:25:45,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-28,86,69,77.4,88.7,69,78.2,68.2,75.5,0.331,100,25,rain,0,0,48.4,15.5,107.9,1015.2,39.1,9.5,321,27.8,9,30,2025-05-28T06:30:48,2025-05-28T20:26:19,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-29,89.9,69.1,78,94.8,69.1,80,69.7,78,0,0,0,,0,0,14.3,8.2,99,1015.1,54.2,9,179,15.6,8,75,2025-05-29T06:30:30,2025-05-29T20:26:53,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-30,82.1,70,76.6,85.6,70,77.4,69.5,79.8,0.928,100,12.5,rain,0,0,29.1,11.4,9.3,1016.1,56.4,9.3,317.7,27.5,9,60,2025-05-30T06:30:14,2025-05-30T20:27:26,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-05-31,87.2,70.1,78.5,90.1,70.1,79.5,67.5,71.4,0,0,0,rain,0,0,14.3,5.8,95.4,1015.1,33.4,9.9,182.9,15.9,7,10,2025-05-31T06:29:58,2025-05-31T20:27:59,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
